epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.63164,2.65817,7.53005,2.37623,0,0,0,0,0,232.062,0,0.00034,0.00034,0.00034
2,6.5306,2.53375,4.89006,2.18475,0,0,0,0,0,232.188,0,0.000698614,0.000698614,0.000698614
3,9.19542,2.46914,4.13113,2.1805,0,0,0,0,0,228.969,0,0.0010558,0.0010558,0.0010558
4,11.7408,2.43733,3.52864,2.12853,0,0,0,0,0,211.281,0,0.00141157,0.00141157,0.00141157
5,14.2647,2.49283,3.26026,2.17901,0,0,0,0,0,193.797,0,0.0017659,0.0017659,0.0017659
6,16.7653,2.46771,2.88282,2.17904,0,0,0,0,0,321.062,0,0.0019802,0.0019802,0.0019802
7,19.2547,2.49432,2.45822,2.1654,0,0,0,0,0,345.938,0,0.00197624,0.00197624,0.00197624
8,21.7759,2.32176,2.25404,2.0839,0,0,0,0,0,365.969,0,0.00197228,0.00197228,0.00197228
9,24.5684,2.2602,1.99033,2.07243,0,0,0,0,0,103.648,0,0.00196832,0.00196832,0.00196832
10,27.3688,2.24155,1.86637,2.10571,0,0,0,0,0,545.359,0,0.00196436,0.00196436,0.00196436
11,30.2054,2.13129,1.70826,2.06448,0,0,0,0,0,364.703,0,0.0019604,0.0019604,0.0019604
12,33.0974,2.21471,1.66793,2.08205,0,0,0,0,0,204.07,0,0.00195644,0.00195644,0.00195644
13,35.9123,2.19562,1.55424,2.08364,0,0,0,0,0,253.078,0,0.00195248,0.00195248,0.00195248
14,38.7235,2.18192,1.56728,2.1044,0,0,0,0,0,909.656,0,0.00194852,0.00194852,0.00194852
15,41.5628,2.19409,1.54453,2.05268,0,0,0,0,0,851.812,0,0.00194456,0.00194456,0.00194456
16,44.4268,2.13524,1.43841,2.05501,0,0,0,0,0,77.9883,0,0.0019406,0.0019406,0.0019406
17,47.268,2.08075,1.3587,2.03549,0,0,0,0,0,367.109,0,0.00193664,0.00193664,0.00193664
18,50.1355,2.07507,1.34363,2.02972,0,0,0,0,0,325.391,0,0.00193268,0.00193268,0.00193268
19,52.9725,2.0795,1.41066,2.02992,0,0,0,0,0,264.82,0,0.00192872,0.00192872,0.00192872
20,55.8179,2.03003,1.28408,2.01482,0,0,0,0,0,400.391,0,0.00192476,0.00192476,0.00192476
21,58.6918,2.00242,1.25154,1.99252,0,0,0,0,0,297.578,0,0.0019208,0.0019208,0.0019208
22,61.7831,2.10038,1.30345,2.01689,0,0,0,0,0,360.797,0,0.00191684,0.00191684,0.00191684
23,64.6278,2.04861,1.26304,1.99257,0,0,0,0,0,280.953,0,0.00191288,0.00191288,0.00191288
